,OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group
1331,2760,2021-04-02,2021-04-03,600.0,Human,47.57047696992474,-93.74467363909768,MNMNCC,Grass-Shrub,US-MN,1.0,Group-1
1332,2761,2021-04-03,2021-04-03,4.0,Human,47.57047696992475,-93.74467363909768,MNMNCC,Grass,US-MN,0.0,Group-1
1333,2762,2021-04-03,2021-05-01,1.0,Human,47.570476969924755,-93.7446736390977,MNMNCC,Grass,US-MN,28.0,Group-2
1334,2763,2021-04-03,2021-04-09,145.0,Human,47.57047696992474,-93.7446736390977,MNMNCC,Grass,US-MN,6.0,Group-1
1335,2765,2021-04-02,2021-06-15,424.57,Human,41.600861,-87.279306,INIIC,Timber,US-IN,74.0,Group-5
1336,2766,2021-04-03,2021-05-01,0.1,Human,47.57047696992475,-93.74467363909771,MNMNCC,Grass,US-MN,28.0,Group-2
1337,2768,2021-04-03,2021-04-03,4.0,Human,45.253783,-69.445469,NHNEC,Timber,US-ME,0.0,Group-1
1338,2772,2021-04-04,2021-04-07,5.0,Unknown,44.0351310089286,-103.03603723214286,SDGPC,Grass,US-SD,3.0,Group-1
1339,2773,2021-03-30,2021-04-08,1.3,Unknown,47.570476969924734,-93.74467363909771,MNMNCC,Grass,US-MN,9.0,Group-1
1340,2774,2021-03-30,2021-04-08,1.0,Human,47.570476969924755,-93.74467363909773,MNMNCC,Grass,US-MN,9.0,Group-1
1341,2775,2021-04-04,2021-04-08,4.0,Human,47.57047696992475,-93.7446736390977,MNMNCC,Grass-Shrub,US-MN,4.0,Group-1
1342,2776,2021-04-03,2021-04-04,1.2,Human,47.570476969924755,-93.74467363909771,MNMNCC,Grass,US-MN,1.0,Group-1
1343,2777,2021-04-03,2021-04-04,1.0,Human,47.57047696992474,-93.74467363909771,MNMNCC,Grass,US-MN,1.0,Group-1
1344,2778,2021-03-31,2021-04-08,0.25,Human,47.57047696992476,-93.7446736390977,MNMNCC,Grass,US-MN,8.0,Group-1
1345,2779,2021-04-03,2021-04-13,1.5,Human,47.570476969924755,-93.7446736390977,MNMNCC,Brush,US-MN,10.0,Group-1
1346,2780,2021-03-29,2021-04-08,1.0,Unknown,47.57047696992477,-93.74467363909771,MNMNCC,Timber,US-MN,10.0,Group-1
1347,2781,2021-03-29,2021-04-08,0.1,Human,47.57047696992476,-93.74467363909771,MNMNCC,Grass-Shrub,US-MN,10.0,Group-1
1348,2782,2021-04-03,2021-04-08,0.1,Unknown,47.57047696992477,-93.74467363909773,MNMNCC,Grass,US-MN,5.0,Group-1
1349,2783,2021-04-04,2021-04-08,4.0,Human,47.57047696992477,-93.7446736390977,MNMNCC,Grass-Shrub,US-MN,4.0,Group-1
1350,2784,2021-03-18,2021-04-04,15.0,Unknown,47.570476969924776,-93.7446736390977,MNMNCC,Grass,US-MN,17.0,Group-2
1351,2785,2021-04-04,2021-04-15,4.0,Unknown,47.24347,-94.20947,MNMNCC,Unknown,US-MN,11.0,Group-1
1352,2786,2021-04-03,2021-04-17,0.75,Human,47.57047696992478,-93.74467363909771,MNMNCC,Grass,US-MN,14.0,Group-1
1353,2787,2021-04-03,2021-04-03,0.1,Human,47.57047696992478,-93.74467363909771,MNMNCC,Grass,US-MN,0.0,Group-1
1354,2788,2021-04-02,2021-04-29,4.0,Natural,32.9105,-113.4434,AZPDC,Grass-Shrub,US-AZ,27.0,Group-2
1355,2789,2021-04-03,2021-06-25,1.818205934,Human,29.18358,-81.86647,FLFIC,Brush,US-FL,83.0,Group-5
1356,2790,2021-04-03,2021-05-06,4.53593566,Human,40.0747,-112.3547,UTNUC,Grass-Shrub,US-UT,33.0,Group-3
1357,2791,2021-04-03,2021-04-08,1.72458561,Human,40.08245,-112.3533,UTNUC,Brush,US-UT,5.0,Group-1
1358,2792,2021-04-02,2021-04-08,7.97,Human,47.91908,-114.361,MTKIC,Grass-Shrub,US-MT,6.0,Group-1
