,humidity,windspeed,pressure,temp,conditions
15794,65.01,8.9,1018.7,62.2,2.0
8483,65.24,8.9,1017.5,82.1,1.0
11491,70.88,6.9,1014.5,49.3,2.0
8405,49.33,17.9,1023.4,59.6,1.0
15338,73.98,9.2,1013.6,66.8,1.0
13847,62.28042364342921,8.5,1015.1283048687221,51.8,1.0
12438,39.06,21.5,1006.5,85.1,1.0
21177,69.13,10.3,1015.1283048687221,77.8,1.0
20764,77.73,11.1,1015.1283048687221,83.3,1.0
20557,58.27,14.6,1018.4,59.4,1.0
18933,77.39,10.8,1016.9,79.6,3.0
9119,87.12,12.8,1015.4,46.4,2.0
17471,78.71,4.5,1015.3,85.2,1.0
20808,90.21,5.3,1016.6,62.6,3.0
7714,58.66,10.8,1022.4,46.6,1.0
9727,89.17,12.2,1023.9,34.1,2.0
1429,45.85,13.2,1006.9,54.9,1.0
8240,62.06,20.7,1018.6,77.7,5.0
2183,40.06,11.4,1021.3,66.9,3.0
5972,36.44,18.0,1009.6,66.3,3.0
5828,74.41,9.6,1014.4,50.8,2.0
17691,67.84,19.6,1013.7,69.7,3.0
18832,61.27,14.2,1018.6,35.9,2.0
5549,35.68,17.6,1015.2,62.6,1.0
17893,80.66,10.0,1019.3,49.9,3.0
6600,83.8,15.1,1019.5,66.2,2.0
10125,52.42,21.5,1009.7,81.0,1.0
14804,82.84,17.3,1009.9,76.9,2.0
7539,54.18,16.6,1029.3,35.3,3.0
3713,72.06,9.4,1014.7,65.5,5.0
9622,67.76,14.5,1013.1,63.4,3.0
10208,79.68,12.4,1026.7,55.4,3.0
6617,46.74,20.8,1018.2,71.0,1.0
12138,81.33,18.8,1013.9,66.2,2.0
851,43.15,17.2,1015.2,52.1,3.0
15669,68.18,10.5,1013.2,80.4,1.0
803,22.9,9.2,1019.1,63.5,1.0
12407,87.75,14.3,1003.2,57.8,2.0
5686,63.63,9.7,1020.1,59.8,1.0
1896,43.72,11.0,1020.3,63.4,1.0
13279,53.1,13.9,1014.1,64.9,3.0
5533,60.63,11.7,1016.1,60.3,1.0
4416,86.79,13.7,1027.7,44.7,2.0
20281,61.84,14.0,994.7,72.6,1.0
18674,88.16,11.0,1014.4,48.3,2.0
11521,96.88,16.0,1010.2,58.6,2.0
15564,72.56,9.7,1013.2,65.3,3.0
13745,64.64,20.4,1008.7,77.7,2.0
19944,64.83,33.3,1027.6,44.2,3.0
19860,85.35,11.7,1021.8,62.3,2.0
7272,62.72,13.7,1008.1,80.4,2.0
9088,68.92,16.6,1008.9,63.1,2.0
9689,65.22,10.7,1014.9,81.3,2.0
14365,51.7,12.4,1018.1,80.1,1.0
3728,30.18,11.4,1011.9,72.2,1.0
2367,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
19831,58.79,8.8,1015.1283048687221,25.4,1.0
18566,50.26,22.1,1016.1,69.9,1.0
11841,87.27,10.5,1013.5,63.4,2.0
4457,46.6,29.5,1015.1283048687221,53.7,3.0
4845,71.13,5.8,1015.1283048687221,31.9,1.0
16664,52.44,24.1,1008.4,41.1,3.0
268,11.27,7.2,1011.4,77.0,1.0
14100,75.2,5.7,1019.2,79.7,5.0
20629,77.66,10.4,1014.8,63.0,3.0
16935,90.22,8.1,1014.3,76.0,2.0
1995,73.26,6.7,1035.2,34.2,1.0
6730,44.56,12.2,1011.3,79.7,5.0
14725,63.67,20.7,1015.5,62.8,2.0
9282,84.73,9.9,1021.8,69.9,2.0
18764,33.82,19.7,1015.1283048687221,78.3,1.0
11431,63.47,21.5,1004.4,74.2,2.0
9241,40.87,11.4,1018.6,50.9,2.0
16140,40.63,15.8,1021.6,41.3,1.0
17847,42.59,10.0,1017.1,57.0,5.0
17430,76.72,7.4,1015.1283048687221,79.1,1.0
19575,60.42,9.5,1029.2,38.6,2.0
8541,64.47,24.9,1003.2,43.8,3.0
1657,18.27,12.0,1011.1,68.1,1.0
10487,50.6,19.6,1006.1,59.2,2.0
14427,79.39,11.4,1020.5,70.9,2.0
4686,73.15,9.4,1014.7,71.7,1.0
2643,49.2,13.9,1016.2,78.0,5.0
4873,28.98,10.3,1016.8,48.6,1.0
14063,56.2,9.2,1016.3,72.8,1.0
5772,81.53,6.2,1017.7,75.3,2.0
13173,71.6,19.3,1012.2,67.4,2.0
7476,79.89,9.4,1015.1283048687221,79.6,3.0
2537,72.76,12.1,1011.2,79.0,5.0
4703,80.54,23.1,1020.3,48.2,2.0
663,37.67,8.6,1012.2,73.9,1.0
16335,35.94,19.6,1011.6,47.3,1.0
20071,60.31,12.7,1011.6,41.9,1.0
3192,87.5,7.4,1024.4,32.4,3.0
3017,77.36,12.8,1017.9,20.8,3.0
6856,71.91,12.4,1011.4,70.1,1.0
9389,83.54,14.4,1017.1,79.3,2.0
1159,86.8,15.7,1015.1283048687221,70.6,2.0
14741,45.23,16.4,1029.1,52.8,1.0
2550,36.12,15.3,1025.3,36.7,1.0
3399,86.5,9.8,1016.0,65.0,3.0
5643,61.78,17.1,1004.7,67.0,3.0
2207,58.03,19.0,1017.4,59.1,1.0
8487,59.87,8.3,1012.9,69.9,1.0
1277,59.26,18.3,1017.6,50.2,3.0
19756,83.79,15.1,1013.6,51.2,2.0
9401,79.81,6.8,1013.6,77.4,1.0
1840,48.6,18.1,1015.7,52.7,1.0
887,54.18,16.1,1013.7,67.1,1.0
